test;http://www.openlinksw.com/schemas/virtrdf#;http://www.w3.org/ns/ldp#;urn:activitystreams-owl:map;http://localhost:8890/DAV/;http://www.w3.org/2002/07/owl#;http://ns.inria.fr/indegx#D2KAB_20220126;http://ns.inria.fr/indegx#Experiment_20220316;http://ns.inria.fr/indegx#LOD-Cloud_20220420;http://ns.inria.fr/indegx#D2KAB_20220610;http://ns.inria.fr/indegx#DBpedia_20220610;http://ns.inria.fr/indegx#D2KAB_20220125;http://ns.inria.fr/indegx#D2KAB_20220420;http://ns.inria.fr/indegx#Experiment_20220406;http://ns.inria.fr/indegx#Experiment_20220420;http://ns.inria.fr/indegx#LOD-Cloud_20220406;http://ns.inria.fr/indegx#Web_Semantics;http://ns.inria.fr/indegx;http://ns.inria.fr/indegx#Experiment_20211206;http://prod-dekalog.inria.fr/sparql;http://ns.inria.fr/indegx#LOD-Cloud_20220131;http://ns.inria.fr/indegx#Experiment_20211203;http://ns.inria.fr/indegx#Experiment_20211118;http://ns.inria.fr/indegx#Experiment_20211129;http://ns.inria.fr/indegx#D2KAB_20220701;http://ns.inria.fr/indegx#DBpedia_20220701;b3sonto;b3sifp;urn:rules.skos;http://www.openlinksw.com/schemas/oplweb#;virtrdf-label;virtrdf-url;facets;http://ns.inria.fr/indegx#D2KAB_20220509;http://ns.inria.fr/indegx#Experiment_20220509;http://ns.inria.fr/indegx#LOD-Cloud_20220509;http://ns.inria.fr/indegx#ontology;http://ns.inria.fr/indegx#LOD-Cloud_20220316;http://ns.inria.fr/indegx#D2KAB_20220316
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELSUBQ.ttl;0;0;0;0;0;9;121;0;3;10;8;2;113;111;0;179;1;118;0;93;121;177;119;4;14;0;0;0;0;0;0;0;2;118;245;0;43;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_ASK.ttl;0;0;0;0;0;10;113;0;4;10;9;3;108;107;0;178;1;112;0;85;115;172;108;5;13;0;0;0;0;0;0;0;4;108;239;0;41;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/vocabularyList.ttl;0;0;0;0;0;133;2301;53;35;1566;133;23;2035;1634;593;17418;28;801;0;923;795;1173;772;54;1149;0;0;0;0;0;0;0;23;1912;13712;0;803;23;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalPropertyPartitionDistinctSubject.ttl;0;0;0;0;0;891;12037;101;251;4;853;174;10697;11032;122;20328;262;9768;0;7513;9249;11527;9973;269;107;0;0;0;0;0;0;0;174;12549;3257;0;2826;157;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/asserted/endpointDescResource.ttl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalPropertyPartitionDistinctObject.ttl;0;0;0;0;0;891;12847;101;251;1627;853;174;11259;11775;122;21996;262;9674;0;7922;9327;11648;9974;269;4;0;0;0;0;0;0;0;174;13689;4163;0;2743;157;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/asserted/datasetDescResource.ttl;0;0;0;0;0;0;0;0;64;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;41715;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/timezone.ttl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELFILIRI.ttl;0;0;0;0;0;10;119;0;4;10;10;3;111;110;0;180;1;115;0;89;114;171;110;5;13;0;0;0;0;0;0;0;3;113;246;0;44;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/tripleCount.ttl;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0;1;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/multipleLanguages.ttl;0;0;0;0;0;0;50;2;33;0;0;2;22;23;2;50;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;21;80;0;7;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELBNODE.ttl;0;0;0;0;0;10;117;0;4;10;9;3;110;110;0;180;1;192;0;89;192;249;192;5;13;0;0;0;0;0;0;0;4;113;246;0;44;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/RDFDataStructures.ttl;0;0;0;0;0;16;52;2;33;0;10;2;22;26;2;33;0;0;0;29;0;0;0;3;1;0;0;0;0;0;0;0;2;24;45;0;9;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_CONJOIN.ttl;0;0;0;0;0;11;124;0;4;10;11;4;110;108;0;174;1;128;0;95;128;180;128;5;13;0;0;0;0;0;0;0;4;111;236;0;41;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/shortUris.ttl;0;0;0;0;0;16;48;2;33;0;10;2;22;20;2;34;0;0;0;27;0;0;0;3;0;0;0;0;0;0;0;0;2;21;33;0;8;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/check/uriPattern.ttl;0;0;0;0;0;0;398;5;136;342;0;9;192;193;8;421;0;0;0;0;0;0;0;9;20;0;0;0;0;0;0;0;9;197;620;0;107;9;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/resourceHostnamePartition.ttl;0;0;0;0;0;0;0;0;22;162;0;0;0;0;0;17058;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;1450;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELFILEXISTS.ttl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELUNION.ttl;0;0;0;0;0;10;121;0;4;10;10;3;111;113;0;180;1;114;0;90;114;172;112;5;13;0;0;0;0;0;0;0;3;112;245;0;44;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELFILSTART.ttl;0;0;0;0;0;10;125;0;4;9;9;3;116;113;0;181;1;121;0;93;122;180;121;5;13;0;0;0;0;0;0;0;3;120;244;0;43;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELGRAPHUNION.ttl;0;0;0;0;0;9;117;0;4;10;9;3;110;109;0;178;1;112;0;87;111;173;107;5;13;0;0;0;0;0;0;0;3;112;240;0;43;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalDistinctUrisObjects.ttl;0;0;0;0;0;9;58;0;3;7;8;0;0;0;0;115;1;49;0;37;51;51;53;5;7;0;0;0;0;0;0;0;0;0;18;0;21;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELFROM.ttl;0;0;0;0;0;9;111;0;4;9;7;3;107;107;0;172;1;110;0;85;109;168;106;5;12;0;0;0;0;0;0;0;3;109;234;0;42;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELGRAPH.ttl;0;0;0;0;0;9;113;0;4;10;8;3;108;109;0;178;1;111;0;87;112;172;105;5;13;0;0;0;0;0;0;0;3;112;239;0;43;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_SELJOIN.ttl;0;0;0;0;0;10;117;0;4;10;8;3;108;111;0;180;1;113;0;88;117;173;110;5;13;0;0;0;0;0;0;0;3;111;246;0;44;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELSUBQGRAPH.ttl;0;0;0;0;0;8;115;0;3;10;7;2;108;108;0;174;1;114;0;90;115;171;114;4;14;0;0;0;0;0;0;0;2;114;235;0;41;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/resourceHostnamePartition.ttl;0;0;0;0;0;0;0;0;22;162;0;0;0;0;0;17058;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;1450;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalClassPartitionDistinctObjects.ttl;0;0;0;0;0;951;8108;1130;259;2818;947;259;8572;8631;1528;69467;56;7219;0;41237;6876;7829;4623;2264;8448;0;0;0;0;0;0;0;259;6934;2492;0;2077;237;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalClassPartitionProperties.ttl;0;0;0;0;0;951;8937;1130;259;5819;947;259;10169;9223;1528;289028;56;8084;0;42097;6986;8515;5737;2264;1101;0;0;0;0;0;0;0;259;7682;5755;0;4160;237;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/classPopulation.ttl;0;0;0;0;0;919;9425;3466;339;7078;938;343;9147;8310;3688;285250;56;9694;0;53149;9370;10113;8059;2344;4091;0;0;0;0;0;0;0;343;8315;7085;0;4867;237;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sportal/sportalDistinctRDFNodes.ttl;0;0;0;0;0;9;61;0;3;6;8;0;0;0;0;113;1;56;0;36;58;55;60;5;9;0;0;0;0;0;0;0;0;0;20;0;21;2;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/extraction/computed/classCount.ttl;0;0;0;0;0;0;0;7;2;1;0;0;0;0;0;81;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;16;0;0;0;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL11/SPARQLES_SELFILCONTAINS.ttl;0;0;0;0;0;10;124;0;4;9;9;3;115;113;0;181;1;121;0;94;123;180;121;5;13;0;0;0;0;0;0;0;3;120;244;0;43;3;
https://raw.githubusercontent.com/Wimmics/dekalog/master/rules/sparqles/SPARQL10/SPARQLES_CONOPT.ttl;0;0;0;0;0;11;123;0;4;10;11;4;110;109;0;174;1;128;0;95;128;180;128;5;13;0;0;0;0;0;0;0;4;111;237;0;41;3;
